Länder	0	1	20	40	60	65	80
Baden-Württemberg	83.93	83.18	64.32	44.61	25.74	21.35	9.67
Bayern	83.51	82.71	63.86	44.16	25.35	20.98	9.42
Berlin	83.17	82.38	63.53	43.83	25.15	20.94	9.94
Brandenburg	83.09	82.34	63.50	43.87	25.20	20.93	9.45
Bremen	82.08	81.39	62.58	42.98	24.57	20.49	9.73
Hamburg	82.98	82.22	63.37	43.65	24.95	20.71	9.73
Hessen	83.11	82.33	63.51	43.85	25.09	20.80	9.47
Mecklenburg-Vorpommern	82.58	81.79	62.97	43.35	24.87	20.64	9.29
Niedersachsen	82.59	81.83	63.00	43.37	24.77	20.54	9.36
Nordrhein-Westfalen	82.43	81.70	62.87	43.20	24.58	20.37	9.39
Rheinland-Pfalz	82.92	82.16	63.30	43.63	24.94	20.65	9.36
Saarland	81.92	81.19	62.35	42.69	24.18	20.01	9.15
Sachsen	83.61	82.83	63.96	44.29	25.58	21.28	9.59
Sachsen-Anhalt	82.07	81.33	62.54	42.99	24.61	20.41	9.14
Schleswig-Holstein	82.72	81.92	63.08	43.43	24.77	20.56	9.43
Thüringen	82.59	81.88	63.08	43.49	24.94	20.69	9.22
Germany	82.99	82.23	63.40	43.73	25.03	20.76	9.46